FromStopID;ToStopID;RunTime
1;1;37
1;9735_25;892
1;10994_37;973
1;11407_61;845
1;11658_39;1234
1;11800_21;1294
1;10661_32;1608
1;10948_29;1136
1;9873_50;408
1;9724_18;386
1;10785_23;380
1;9646_49;343
1;agg_9633_48_11946_43_11949_0_9646_0;1394
1;agg_11516_32_11970_0_12041_8_11921_0;498
1;agg_9828_4_11970_4_10691_33_9844_29;445
1;agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0;229
1;agg_9863_50_11969_8;427
1;agg_9897_0_9973_34_9889_51_9963_0;837
1;agg_12472_23_9836_31_9897_34_11923_50_11973_33_12043_1_9852_20;467
1;agg_10142_44_10136_0_9897_50_9889_0;876
1;agg_10045_25_11089_9_12475_23;828
1;agg_10740_22_10099_15;397
1;agg_10115_0_9908_0_12037_0_9922_53_10818_33_10120_37_12038_12_9929_11_9931_0;242
1;agg_10115_37_10115_38_10189_36_10189_37;1157
1;agg_10258_1_10221_30_10312_0_10312_1_12434_0_12422_35_10315_28_10882_1;1222
1;agg_10385_45_10395_0_11755_32_11759_0;1476
1;agg_10437_17_10498_41;1129
1;agg_10444_40_11759_32_12115_49;841
1;agg_10804_21_10804_22_11538_46_11538_47_10481_5;693
1;agg_10994_0_10980_36;874
1;agg_10994_1_12123_0_10959_25_10336_34_10329_0_10956_0;888
1;agg_11518_32_11523_0;424
1;agg_11514_32_11516_0_12464_0_12462_15_11516_1_12464_1;487
1;agg_11516_10_9908_16_10691_9_11882_34_12464_4_9929_0_9844_1_9931_11;115
1;agg_11538_0_11530_46;776
1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;531
1;agg_10959_0_10956_24_12115_27_12434_14_11773_6_10959_1_11776_10_12113_22_12422_21;1152
1;agg_10965_0_10970_27;897
1;agg_11800_0_11164_0_11804_22_11166_22;897
1;agg_11967_0_11967_1_11963_44_10695_33_10705_0_10705_1;613
1;agg_11967_43_11963_0_10695_0_10705_33;860
1;agg_12113_47_12561_34_12556_9;1489
1;agg_11039_11_11037_0_12607_19_12605_0_11037_1_12605_1_12497_20_12499_0_12499_1;623
1;agg_12570_35_12561_0;915
1;agg_12751_33_12751_34_11845_43;583
1;agg_12788_0_12763_0_12771_36;719
1;agg_10661_0_10064_29_10663_31_10066_0;545
1;agg_9908_53_9922_0;757
1;agg_12434_34_12434_35;1114
1;agg_11804_21_10538_19_11166_21_10970_26_10537_0_10538_20;886
1;agg_10537_16_10538_0;1129
1;agg_10675_37_10671_0_11957_0_11962_49_10671_1_11957_1;794
1;agg_11679_0_11683_37_11679_1;1102
1;agg_11679_36_11683_0;571
1;agg_10671_36_11882_47_11989_25;408
1;agg_11518_0_11838_49_11845_0_11523_30;511
1;agg_9777_0_9773_29;685
1;agg_9777_31_9773_0;1252
1;agg_11060_0_11067_23;206
1;agg_10965_25_10970_0;1249
1;agg_12123_27_12124_0_10487_0_10481_42;1249
1;agg_11065_20_11067_0_9852_0_9844_45;490
1;agg_11039_0_11037_12;572
1;agg_12763_36_12771_0;921
1;agg_11475_0_11467_26_11475_1;679
1;agg_11475_27_10487_39_10481_0_11467_0;762
1;agg_11079_0_11077_9_11079_1_10705_29;730
1;agg_11079_10_11077_0;838
1;agg_11082_16_10120_31_11085_0_12038_6;336
1;agg_9852_46_9844_0;120
9735_25;1;972
9735_25;9735_25;9
9735_25;10994_37;90
9735_25;11407_61;202
9735_25;11658_39;1033
9735_25;11800_21;698
9735_25;10661_32;1093
9735_25;10948_29;791
9735_25;9873_50;795
9735_25;9724_18;803
9735_25;10785_23;890
