Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;∅ DE/LU neighbours [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
Dec 6, 2023 12:00 AM;Dec 6, 2023 1:00 AM;94.97;96.47;94.97;94.97;97.31;94.97;94.97;97.31;94.97;94.97;97.31;104.45;94.97;-;101.07;94.97;94.97
Dec 6, 2023 1:00 AM;Dec 6, 2023 2:00 AM;93.10;94.24;93.10;93.10;94.85;93.10;93.10;94.85;93.10;93.10;94.85;100.41;93.10;-;99.40;93.10;93.10
Dec 6, 2023 2:00 AM;Dec 6, 2023 3:00 AM;92.57;93.30;92.57;92.57;93.66;92.57;92.57;93.66;92.57;92.57;93.66;97.30;92.57;-;94.18;92.57;92.57
Dec 6, 2023 3:00 AM;Dec 6, 2023 4:00 AM;90.96;92.12;90.96;90.96;93.20;90.96;90.96;93.20;90.96;90.96;93.20;97.05;90.96;-;93.95;90.96;90.96
Dec 6, 2023 4:00 AM;Dec 6, 2023 5:00 AM;90.59;91.72;90.59;90.59;92.82;90.59;90.59;92.82;90.59;90.59;92.82;96.35;90.59;-;91.75;90.59;90.59
Dec 6, 2023 5:00 AM;Dec 6, 2023 6:00 AM;93.89;94.96;93.89;93.89;95.33;93.89;93.89;95.33;93.89;93.89;95.33;101.31;93.89;-;100.30;93.89;93.89
Dec 6, 2023 6:00 AM;Dec 6, 2023 7:00 AM;106.94;108.45;106.84;106.94;106.94;107.03;106.52;103.84;108.20;111.70;106.94;119.78;108.25;-;120.96;108.54;109.29
Dec 6, 2023 7:00 AM;Dec 6, 2023 8:00 AM;133.86;134.78;133.50;133.86;137.15;133.61;132.76;137.15;133.78;131.52;137.15;138.31;133.81;-;133.61;133.77;133.80
Dec 6, 2023 8:00 AM;Dec 6, 2023 9:00 AM;167.00;166.58;167.00;167.00;171.99;167.00;167.00;171.99;167.00;147.38;171.99;167.05;167.00;-;167.00;167.00;167.00
Dec 6, 2023 9:00 AM;Dec 6, 2023 10:00 AM;166.54;166.30;166.54;166.54;171.52;166.54;166.54;171.52;166.54;147.97;171.52;167.54;166.54;-;166.54;166.54;166.54
Dec 6, 2023 10:00 AM;Dec 6, 2023 11:00 AM;150.00;151.84;150.00;150.00;154.48;150.00;150.00;154.48;150.00;148.90;154.48;157.89;150.00;-;150.00;150.00;150.00
Dec 6, 2023 11:00 AM;Dec 6, 2023 12:00 PM;146.29;147.55;146.29;146.29;149.88;146.29;146.29;149.88;146.29;146.29;149.88;149.39;146.29;-;140.00;146.29;146.29
Dec 6, 2023 12:00 PM;Dec 6, 2023 1:00 PM;146.10;142.02;133.01;146.10;149.69;137.17;119.00;149.69;143.80;147.13;149.69;141.85;145.07;-;130.75;143.86;145.05
Dec 6, 2023 1:00 PM;Dec 6, 2023 2:00 PM;141.03;137.09;126.73;141.03;144.50;131.37;109.73;144.50;139.27;144.50;144.50;141.19;140.71;-;131.37;139.49;141.13
Dec 6, 2023 2:00 PM;Dec 6, 2023 3:00 PM;140.50;139.91;135.67;140.50;143.96;137.25;129.89;143.96;140.10;142.29;143.96;140.85;140.60;-;137.25;140.22;140.86
Dec 6, 2023 3:00 PM;Dec 6, 2023 4:00 PM;143.99;145.46;143.99;143.99;147.53;143.99;143.99;147.53;143.99;143.99;147.53;149.51;143.99;-;143.99;143.99;143.99
Dec 6, 2023 4:00 PM;Dec 6, 2023 5:00 PM;164.00;162.80;164.00;164.00;164.00;164.00;164.00;164.00;164.00;151.95;164.00;162.90;164.00;-;164.00;164.00;164.00
Dec 6, 2023 5:00 PM;Dec 6, 2023 6:00 PM;178.07;175.95;178.07;178.07;178.07;178.07;178.07;173.24;178.07;149.01;178.07;188.63;178.07;-;178.07;178.07;178.07
Dec 6, 2023 6:00 PM;Dec 6, 2023 7:00 PM;165.28;164.36;165.28;165.28;165.28;165.28;165.28;160.16;165.28;144.41;165.28;181.14;165.28;-;165.28;165.28;165.28
Dec 6, 2023 7:00 PM;Dec 6, 2023 8:00 PM;149.93;149.41;149.93;149.93;149.93;149.93;149.93;145.58;149.93;139.15;149.93;159.30;149.93;-;149.93;149.93;149.93
Dec 6, 2023 8:00 PM;Dec 6, 2023 9:00 PM;129.91;130.04;129.91;129.91;129.91;129.91;129.91;126.14;129.91;129.91;129.91;135.16;129.91;-;129.91;129.91;129.91
Dec 6, 2023 9:00 PM;Dec 6, 2023 10:00 PM;115.68;115.85;115.68;115.68;115.68;115.68;115.68;112.33;115.68;115.68;115.68;120.86;115.68;-;127.72;115.68;115.68
Dec 6, 2023 10:00 PM;Dec 6, 2023 11:00 PM;107.33;107.49;107.33;107.33;107.33;107.33;107.33;104.00;107.33;107.33;104.75;114.97;107.33;-;123.00;107.33;107.33
Dec 6, 2023 11:00 PM;Dec 7, 2023 12:00 AM;100.44;100.47;100.44;100.44;100.44;100.44;100.44;97.74;100.44;100.44;98.03;105.86;100.44;-;117.12;100.44;100.44
Dec 7, 2023 12:00 AM;Dec 7, 2023 1:00 AM;99.20;98.86;99.20;99.20;99.20;99.20;99.20;96.03;99.20;99.20;96.82;101.06;99.20;-;107.80;99.20;99.20
