station_id,E_d_m01,E_m_m01,Hi_d_m01,Hi_m_m01,SD_m_m01,E_d_m02,E_m_m02,Hi_d_m02,Hi_m_m02,SD_m_m02,E_d_m03,E_m_m03,Hi_d_m03,Hi_m_m03,SD_m_m03,E_d_m04,E_m_m04,Hi_d_m04,Hi_m_m04,SD_m_m04,E_d_m05,E_m_m05,Hi_d_m05,Hi_m_m05,SD_m_m05,E_d_m06,E_m_m06,Hi_d_m06,Hi_m_m06,SD_m_m06,E_d_m07,E_m_m07,Hi_d_m07,Hi_m_m07,SD_m_m07,E_d_m08,E_m_m08,Hi_d_m08,Hi_m_m08,SD_m_m08,E_d_m09,E_m_m09,Hi_d_m09,Hi_m_m09,SD_m_m09,E_d_m10,E_m_m10,Hi_d_m10,Hi_m_m10,SD_m_m10,E_d_m11,E_m_m11,Hi_d_m11,Hi_m_m11,SD_m_m11,E_d_m12,E_m_m12,Hi_d_m12,Hi_m_m12,SD_m_m12,total_E_d,total_E_m,total_E_y,total_Hi_d,total_Hi_m,total_Hi_y,total_SD_m,total_SD_y,total_l_aoi,total_l_spec,total_l_tg,total_l_total,total_LCOE_pv
cd_Muellerstrasse_01,5.43,168.4,1.26,39.01,38.79,10.37,290.45,2.38,66.75,76.16,14.77,457.88,3.54,109.6,89.86,20.2,605.87,4.98,149.54,96.73,20.99,650.67,5.3,164.45,102.49,21.54,646.22,5.59,167.56,53.98,20.48,634.77,5.36,166.14,76.62,19.48,603.81,5.04,156.18,59.73,17.4,522.14,4.37,130.97,72.07,11.83,366.72,2.88,89.15,79.18,6.71,201.42,1.59,47.75,50.95,4.82,149.56,1.13,35.02,32.68,14.51,441.49,5297.91,3.62,110.18,1322.13,24.7,296.36,-2.93,1.81,-5.7,-19.86,0.14
cd_Cicerostrasse_01,5.47,169.51,1.27,39.32,38.18,10.29,288.15,2.36,66.11,76.52,14.88,461.13,3.55,109.97,91.74,20.28,608.53,5.01,150.29,96.05,20.99,650.71,5.31,164.57,101.86,21.61,648.44,5.61,168.21,53.19,20.53,636.47,5.38,166.67,76.26,19.48,604.03,5.04,156.38,60.33,17.37,521.25,4.36,130.82,73.71,11.83,366.58,2.88,89.13,79.6,6.74,202.07,1.6,47.94,52.11,4.81,149.06,1.13,34.9,28.73,14.54,442.16,5305.92,3.63,110.36,1324.31,25.73,308.77,-2.93,1.83,-5.74,-19.87,0.14
cs_9735_25,5.49,170.33,1.27,39.47,37.04,10.28,287.86,2.36,66.07,76.95,14.85,460.2,3.54,109.81,90.78,20.22,606.6,4.99,149.83,97.26,20.91,648.18,5.29,163.85,100.56,21.59,647.85,5.6,168.03,53.11,20.51,635.7,5.37,166.47,77.67,19.48,604.0,5.04,156.32,60.04,17.37,521.0,4.36,130.72,73.05,11.81,365.97,2.87,89.02,79.52,6.76,202.78,1.6,48.08,51.28,4.83,149.58,1.13,35.02,29.5,14.52,441.67,5300.06,3.62,110.22,1322.69,25.89,310.62,-2.93,1.84,-5.73,-19.86,0.14
cs_10994_37,5.5,170.39,1.27,39.49,37.06,10.28,287.93,2.36,66.09,76.97,14.85,460.25,3.54,109.82,90.8,20.22,606.62,4.99,149.83,97.27,20.91,648.17,5.29,163.85,100.57,21.59,647.82,5.6,168.02,53.11,20.51,635.67,5.37,166.47,77.67,19.48,604.01,5.04,156.32,60.05,17.37,521.04,4.36,130.73,73.06,11.81,366.04,2.87,89.03,79.54,6.76,202.84,1.6,48.1,51.3,4.83,149.64,1.13,35.03,29.52,14.52,441.7,5300.43,3.62,110.23,1322.77,25.89,310.68,-2.93,1.84,-5.73,-19.86,0.14
cs_11407_0,5.13,158.96,1.2,37.07,35.57,9.86,276.06,2.27,63.57,78.11,14.56,451.51,3.48,107.84,94.28,20.11,603.19,4.97,148.99,96.32,21.05,652.57,5.32,164.85,97.72,21.58,647.32,5.6,168.0,54.77,20.34,630.64,5.32,165.0,72.8,19.44,602.56,5.03,156.0,61.95,17.31,519.29,4.35,130.42,73.1,11.55,358.19,2.81,87.21,82.46,6.54,196.33,1.55,46.64,51.1,4.58,141.87,1.08,33.39,31.61,14.35,436.54,5238.5,3.59,109.08,1308.98,25.8,309.6,-2.95,1.80,-5.8,-19.96,0.14
cs_11407_61,5.49,170.17,1.27,39.49,37.05,10.29,287.99,2.36,66.08,76.96,14.86,460.54,3.54,109.82,90.8,20.22,606.56,4.99,149.83,97.27,20.9,647.76,5.29,163.85,100.56,21.59,647.82,5.6,168.03,53.12,20.5,635.65,5.37,166.48,77.67,19.48,603.89,5.04,156.33,60.05,17.36,520.93,4.36,130.73,73.07,11.81,366.09,2.87,89.03,79.55,6.76,202.81,1.6,48.1,51.31,4.83,149.67,1.13,35.03,29.52,14.52,441.66,5299.87,3.62,110.23,1322.79,25.89,310.67,-2.93,1.83,-5.73,-19.87,0.14
cs_11658_39,5.38,166.82,1.25,38.79,36.98,10.13,283.53,2.33,65.2,81.68,14.84,459.9,3.54,109.71,92.37,20.39,611.69,5.04,151.06,95.52,21.21,657.43,5.36,166.21,98.33,21.8,653.94,5.65,169.62,51.94,20.63,639.66,5.4,167.47,73.63,19.67,609.74,5.09,157.89,61.41,17.53,525.83,4.4,131.97,73.1,11.8,365.89,2.87,88.98,80.05,6.78,203.33,1.61,48.23,50.82,4.7,145.82,1.11,34.26,31.55,14.59,443.63,5323.58,3.64,110.78,1329.4,25.29,303.5,-2.94,1.81,-5.76,-19.91,0.13
cs_11800_21,5.36,166.22,1.24,38.58,36.43,10.11,283.09,2.32,65.06,81.42,14.75,457.32,3.52,109.25,92.83,20.29,608.65,5.01,150.36,96.46,21.17,656.27,5.35,165.84,97.43,21.75,652.51,5.64,169.27,51.14,20.67,640.7,5.41,167.74,76.34,19.64,608.85,5.09,157.65,61.56,17.45,523.43,4.38,131.37,75.29,11.82,366.56,2.87,89.11,78.03,6.7,201.12,1.59,47.74,51.03,4.73,146.64,1.11,34.43,30.1,14.55,442.61,5311.36,3.63,110.53,1326.4,25.79,309.51,-2.94,1.81,-5.77,-19.91,0.13
cs_12751_0,5.46,169.18,1.27,39.25,37.97,10.28,287.7,2.36,66.0,76.37,14.86,460.8,3.54,109.89,91.62,20.28,608.26,5.01,150.22,95.99,20.98,650.52,5.31,164.52,101.79,21.61,648.35,5.61,168.2,53.17,20.53,636.37,5.38,166.65,76.22,19.48,603.83,5.04,156.32,60.28,17.36,520.91,4.36,130.73,73.64,11.81,366.17,2.87,89.03,79.48,6.72,201.73,1.6,47.86,51.99,4.79,148.6,1.12,34.8,28.62,14.53,441.87,5302.42,3.63,110.29,1323.48,25.69,308.26,-2.93,1.83,-5.74,-19.87,0.14
cs_10661_32,5.26,162.95,1.22,37.86,36.55,9.89,277.03,2.28,63.75,74.24,14.19,440.03,3.39,105.2,92.8,19.85,595.51,4.9,147.02,95.77,20.68,641.0,5.23,162.06,98.77,21.28,638.28,5.52,165.65,56.66,20.32,630.03,5.32,165.06,79.81,19.27,597.51,4.99,154.55,63.53,17.08,512.44,4.29,128.68,72.3,11.49,356.32,2.8,86.78,78.67,6.53,195.84,1.55,46.53,48.7,4.55,140.93,1.07,33.22,29.22,14.21,432.32,5187.86,3.55,108.03,1296.37,25.22,302.6,-2.97,1.82,-5.8,-19.96,0.14
