FromEdgeID;ToEdgeID;RunTime
E19.203;E19.203;35
E19.203;671403224#1;364
E19.203;-140336718#0;1406
E19.203;30276434#1;345
E19.203;914393586;397
E19.203;4517104;533
E19.203;-25418282;522
E19.203;718428117#1;903
E19.203;207716520;939
E19.203;23044566;1263
E19.203;4368690;687
E19.203;451458155;483
E19.203;375861848;231
E19.203;-420483060#0;477
E19.203;24041366;131
E19.203;455953261#1;502
E19.203;111251392;424
E19.203;-333626093;439
E19.203;4389557#1;410
E19.203;42813669;862
E19.203;24735700;848
E19.203;456213456;232
E19.203;231262268#0;768
E19.203;27606891#2;127
E19.203;-10947989;1092
E19.203;98410013#0;1096
E19.203;172282359;773
E19.203;148288810#2;1260
E19.203;76402289;349
E19.203;461910870#2;1131
E19.203;30157285;897
E19.203;24160797;1141
E19.203;4616321#2;556
E19.203;-259536422;1619
E19.203;-39496182#0;805
E19.203;MA047;421
E19.203;-669433184;578
E19.203;4802807#2;455
E19.203;39473294;872
E19.203;41976565;624
E19.203;-671403217;399
E19.203;-165465028#0;382
E19.203;4486596#2;704
E19.203;24673480;756
E19.203;30699893;756
E19.203;-469999015;1138
E19.203;469999020;899
E19.203;120395207#1;1154
E19.203;30157290;908
E19.203;469999032;926
E19.203;30157292#1;885
E19.203;-469999029;984
E19.203;25369033#2;634
E19.203;15926759;583
E19.203;4594894#4;241
E19.203;57936173#3;191
E19.203;223737429;849
E19.203;-461331989#0;741
E19.203;28819804;322
E19.203;-MA068;1222
E19.203;23109073#1;857
E19.203;52158843#1;681
E19.203;-857983579;489
E19.203;243102981;497
E19.203;806903754;436
E19.203;385888165#4;778
E19.203;-31002335#0;1236
E19.203;138515677#4;1179
E19.203;256245721;1113
E19.203;710761406;573
E19.203;30143978#1;833
E19.203;-858123638#0;1478
E19.203;4463221#1;845
E19.203;451621867#1;1296
E19.203;-451621866;1343
E19.203;4392634#2;1125
E19.203;MA080;1224
E19.203;-450086133;912
E19.203;32197350#0;854
E19.203;139806486#2;927
E19.203;-79701272#0;1491
E19.203;30709383;1549
E19.203;151043332#5;996
E19.203;332306828#3;595
E19.203;4442099#1;721
E19.203;450189363;923
671403224#1;E19.203;335
671403224#1;671403224#1;4
671403224#1;-140336718#0;1179
671403224#1;30276434#1;68
671403224#1;914393586;451
671403224#1;4517104;210
671403224#1;-25418282;198
671403224#1;718428117#1;693
671403224#1;207716520;729
671403224#1;23044566;1037
671403224#1;4368690;364
671403224#1;451458155;684
671403224#1;375861848;246
671403224#1;-420483060#0;689
671403224#1;24041366;342
671403224#1;455953261#1;712
671403224#1;111251392;171
671403224#1;-333626093;492
671403224#1;4389557#1;127
671403224#1;42813669;969
671403224#1;24735700;1059
671403224#1;456213456;308
671403224#1;231262268#0;979
671403224#1;27606891#2;337
