route,start_stop_id,end_stop_id,flow_begin,flow_end,period,duration,nr_of_buses,nr_of_repetitions,nr_of_trips_pd,line,depot,type,bothdepots,doubledecker
101_9633,agg_9633_0_9633_1,agg_9633_48_11946_43_11949_0_9646_0,15120,85800,600.0,3860.0,7,18,117,101,cicerostrasse,DL,0,0
101_9646,agg_9633_48_11946_43_11949_0_9646_0,9646_49,1740,85740,600.0,3980.0,7,21,140,101,cicerostrasse,DL,0,0
109_9722,agg_9722_0_9722_1,agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39,19860,86160,720.0,1820.0,3,36,92,109,muellerstrasse,EN,0,0
109_9724,agg_9627_0_9735_0_10804_0_11658_0_11946_0_11979_0_11838_17_11649_0_9724_0_10632_0_11941_14_10740_0_12482_0_11703_0,9724_18,19200,86040,600.0,2000.0,4,33,111,109,muellerstrasse,EN,0,0
110_9735,agg_9627_0_9735_0_10804_0_11658_0_11946_0_11979_0_11838_17_11649_0_9724_0_10632_0_11941_14_10740_0_12482_0_11703_0,9735_25,18540,85800,1200.0,1970.0,2,34,56,110,cicerostrasse,EN,0,0
110_9737,agg_9737_0_11857_8_9737_1,agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39,1320,85320,1200.0,1940.0,2,43,70,110,cicerostrasse,EN,0,0
115_9773,agg_9777_31_9773_0,agg_9777_0_9773_29,16260,85980,1140.0,2120.0,2,32,61,115,cicerostrasse,EN,0,0
115_9777,agg_9777_0_9773_29,agg_9777_31_9773_0,15420,86100,600.0,2120.0,4,33,117,115,cicerostrasse,EN,0,0
120_9828,agg_9828_0_12475_0,agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0,1200,85200,720.0,2420.0,4,34,116,120,muellerstrasse,GN,0,0
120_9836,agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0,agg_12472_23_9836_31_9897_34_11923_50_11973_33_12043_1_9852_20,16440,85980,780.0,2420.0,4,28,89,120,muellerstrasse,GN,0,0
122_9844,agg_9852_46_9844_0,agg_11065_20_11067_0_9852_0_9844_45,1320,85320,300.0,3500.0,12,24,280,122,muellerstrasse,GN,0,0
122_9852,agg_11065_20_11067_0_9852_0_9844_45,agg_9852_46_9844_0,1680,85680,300.0,3440.0,12,24,280,122,muellerstrasse,GN,0,0
123_9863,agg_9863_0_9863_1,agg_9863_50_11969_8,16680,86280,300.0,3500.0,12,19,232,123,muellerstrasse,EN,0,0
123_9873,agg_11968_0_9873_0,9873_50,15900,85500,540.0,3800.0,8,18,128,123,muellerstrasse,EN,0,0
124_9889,agg_10142_44_10136_0_9897_50_9889_0,agg_9897_0_9973_34_9889_51_9963_0,1260,85260,600.0,3920.0,7,21,140,124,muellerstrasse,EN,0,0
124_9897,agg_9897_0_9973_34_9889_51_9963_0,agg_10142_44_10136_0_9897_50_9889_0,15480,86280,720.0,3860.0,6,18,98,124,muellerstrasse,EN,0,0
125_9908,agg_10115_0_9908_0_12037_0_9922_53_10818_33_10120_37_12038_12_9929_11_9931_0,agg_9908_53_9922_0,15600,86220,660.0,4160.0,7,16,107,125,muellerstrasse,GN,0,0
