FromStopID;ToStopID;RunTime
bs_muellerstrasse;bs_muellerstrasse;13
bs_muellerstrasse;bs_cicerostrasse;610
bs_muellerstrasse;9735_25;854
bs_muellerstrasse;10994_37;935
bs_muellerstrasse;11407_0;1181
bs_muellerstrasse;11407_61;805
bs_muellerstrasse;11658_39;1197
bs_muellerstrasse;11800_21;1249
bs_muellerstrasse;12751_0;956
bs_muellerstrasse;10661_32;1570
bs_muellerstrasse;10948_29;1092
bs_muellerstrasse;11804_0;1297
bs_muellerstrasse;10789_0;347
bs_muellerstrasse;9873_50;365
bs_muellerstrasse;12422_0;982
bs_muellerstrasse;10663_0;1571
bs_muellerstrasse;9724_18;348
bs_muellerstrasse;10785_23;342
bs_muellerstrasse;10498_0;320
bs_muellerstrasse;9646_49;299
bs_muellerstrasse;agg_9627_0_9735_0_10804_0_11658_0_11946_0_11979_0_11838_17_11649_0_9724_0_10632_0_11941_14_10740_0_12482_0_11703_0;476
bs_muellerstrasse;agg_9633_0_9633_1;321
bs_muellerstrasse;agg_9633_48_11946_43_11949_0_9646_0;1198
bs_muellerstrasse;agg_9828_0_12475_0;439
bs_muellerstrasse;agg_11516_32_11970_0_12041_8_11921_0;447
bs_muellerstrasse;agg_9828_4_11970_4_10691_33_9844_29;384
bs_muellerstrasse;agg_9828_20_11060_9_11065_0_11957_27;204
bs_muellerstrasse;agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0;191
bs_muellerstrasse;agg_9863_0_9863_1;384
bs_muellerstrasse;agg_9863_50_11969_8;386
bs_muellerstrasse;agg_9897_0_9973_34_9889_51_9963_0;780
bs_muellerstrasse;agg_11514_0_12043_0;408
bs_muellerstrasse;agg_12472_23_9836_31_9897_34_11923_50_11973_33_12043_1_9852_20;419
bs_muellerstrasse;agg_10142_44_10136_0_9897_50_9889_0;835
bs_muellerstrasse;agg_10045_25_11089_9_12475_23;789
bs_muellerstrasse;agg_10740_22_10099_15;357
bs_muellerstrasse;agg_10115_0_9908_0_12037_0_9922_53_10818_33_10120_37_12038_12_9929_11_9931_0;194
bs_muellerstrasse;agg_10115_37_10115_38_10189_36_10189_37;1116
bs_muellerstrasse;agg_10258_1_10221_30_10312_0_10312_1_12434_0_12422_35_10315_28_10882_1;1182
bs_muellerstrasse;agg_10385_45_10395_0_11755_32_11759_0;1433
bs_muellerstrasse;agg_10437_0_11755_0_12113_0_10437_1_11755_1_12113_1_11941_24;782
bs_muellerstrasse;agg_10437_17_10498_41;1087
bs_muellerstrasse;agg_11665_0_10437_34_11665_1;1136
bs_muellerstrasse;agg_10444_40_11759_32_12115_49;801
bs_muellerstrasse;agg_10804_21_10804_22_11538_46_11538_47_10481_5;653
bs_muellerstrasse;agg_10994_0_10980_36;832
bs_muellerstrasse;agg_10994_1_12123_0_10959_25_10336_34_10329_0_10956_0;846
bs_muellerstrasse;agg_11518_32_11523_0;357
bs_muellerstrasse;agg_11514_32_11516_0_12464_0_12462_15_11516_1_12464_1;444
bs_muellerstrasse;agg_11516_10_9908_16_10691_9_11882_34_12464_4_9929_0_9844_1_9931_11;72
bs_muellerstrasse;agg_11538_0_11530_46;735
bs_muellerstrasse;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;489
bs_muellerstrasse;agg_10959_0_10956_24_12115_27_12434_14_11773_6_10959_1_11776_10_12113_22_12422_21;1096
bs_muellerstrasse;agg_10965_0_10970_27;845
bs_muellerstrasse;agg_11800_0_11164_0_11804_22_11166_22;851
bs_muellerstrasse;agg_9737_0_11857_8_9737_1;886
bs_muellerstrasse;agg_11967_0_11967_1_11963_44_10695_33_10705_0_10705_1;573
bs_muellerstrasse;agg_11967_43_11963_0_10695_0_10705_33;817
bs_muellerstrasse;agg_11973_30_9852_17_10683_0_9836_28;505
bs_muellerstrasse;agg_12113_47_12561_34_12556_9;1444
bs_muellerstrasse;agg_12115_0_12558_0_12570_0;1480
bs_muellerstrasse;agg_11039_11_11037_0_12607_19_12605_0_11037_1_12605_1_12497_20_12499_0_12499_1;578
bs_muellerstrasse;agg_12570_35_12561_0;875
bs_muellerstrasse;agg_12751_33_12751_34_11845_43;543
bs_muellerstrasse;agg_12788_0_12763_0_12771_36;678
bs_muellerstrasse;agg_10661_0_10064_29_10663_31_10066_0;500
bs_muellerstrasse;agg_9908_53_9922_0;717
bs_muellerstrasse;agg_12434_34_12434_35;1075
bs_muellerstrasse;agg_11804_21_10538_19_11166_21_10970_26_10537_0_10538_20;843
bs_muellerstrasse;agg_10537_16_10538_0;1087
