chargingStation_chargeInTransit;chargingStation_coordinates;chargingStation_efficiency;chargingStation_endPos;chargingStation_id;chargingStation_lane;chargingStation_name;chargingStation_power;chargingStation_startPos;free_area
FALSCH;13.303440333503405,52.492583731258065;95;27524;cd_cicerostrasse_01;E1.51_0;Depot Cicerostraße;150000;0;26400
FALSCH;13.33776446744273,52.56058715781662;95;51064;cd_muellerstrasse_01;-E19_0;Depot Müllerstraße;150000;0;30190
FALSCH;13.339324,52.526360;95;6706;cs_10498_0;461910873#1_0;U Turmstr. (Berlin)_Charger;150000;5406;120
FALSCH;13.123653,52.428382;95;674;cs_10661_32;-259536422_0;Pfaueninsel (Berlin)_Charger;150000;0;0
FALSCH;13.123557,52.428404;95;1300;cs_10663_0;-259536415_0;Pfaueninsel (Berlin)_Charger;150000;0;0
FALSCH;13.387647,52.533308;95;7989;cs_10785_23;-165465028#0_0;S Nordbahnhof/Gartenstr. (Berlin)_Charger;150000;6689;60
FALSCH;13.388397,52.532752;95;4390;cs_10789_0;-169719061#2_0;S Nordbahnhof/Gartenstr. (Berlin)_Charger;150000;3090;60
FALSCH;13.410719,52.444842;95;6881;cs_10948_29;-469999015_0;Dardanellenweg (Berlin)_Charger;150000;5581;180
FALSCH;13.266048,52.455022;95;6651;cs_10994_37;-469999029_0;Waldfriedhof Dahlem (Berlin)_Charger;150000;5351;60
FALSCH;13.509171,52.454128;95;3739;cs_11407_0;-MA068_0;S Schöneweide/Sterndamm (Berlin)_Charger;150000;2439;100
FALSCH;13.289536,52.456885;95;8412;cs_11407_61;23109073#1_0;U Dahlem-Dorf (Berlin)_Charger;150000;7112;210
FALSCH;13.447302,52.436962;95;35776;cs_11658_39;-31002335#0_0;U Britz-Süd (Berlin)_Charger;150000;34476;120
FALSCH;13.350638,52.408168;95;5727;cs_11800_21;451621867#1_0;Waldsassener Str. (Berlin)_Charger;150000;4427;180
FALSCH;13.350318,52.407212;95;6625;cs_11804_0;-451621866_0;Waldsassener Str. (Berlin)_Charger;150000;5325;180
FALSCH;13.240433,52.442571;95;1300;cs_12422_0;385969248#1_0;U Krumme Lanke (Berlin)_Charger;150000;0;0
FALSCH;13.348261,52.451533;95;52539;cs_12751_0;151043332#5_0;Planetarium (Berlin)_Charger;150000;51239;90
FALSCH;13.343485,52.526211;95;6898;cs_9646_49;30276434#1_0;Berlin, Turmstr./Lübecker Str._Charger;150000;5598;150
FALSCH;13.286001,52.551253;95;1716;cs_9724_18;914393586_0;Urban Tech Republic (Berlin)_Charger;150000;416;120
FALSCH;13.270448,52.451036;95;12480;cs_9735_25;718428117#1_0;U Oskar-Helene-Heim (Berlin)_Charger;150000;11180;90
FALSCH;13.367829,52.526232;95;10778;cs_9873_50;4389557#1_0;S+U Berlin Hauptbahnhof_Charger;150000;9478;1500
FALSCH;13.194286,52.535691;95;1594;cs_agg_10045_25_11089_9_12475_23;450086133_0;Berlin, Galenstr._Charger;150000;0;90
FALSCH;13.369301,52.556887;95;9395;cs_agg_10115_0_9908_0_12037_0_9922_53_10818_33_10120_37_12038_12_9929_11_9931_0;456213456_0;U Osloer Str. (Berlin)_Charger;150000;5195;480
FALSCH;13.491238,52.637732;95;4449;cs_agg_10115_37_10115_38_10189_36_10189_37;-98410013#3_0;S Buch (Berlin) [Am Sandhaus]_Charger;150000;249;0
FALSCH;13.490768,52.638013;95;3351;cs_agg_10120_0_10195_0_12049_0;98410013#0_0;S Buch (Berlin) [Am Sandhaus]_Charger;150000;0;90
FALSCH;13.407394,52.613580;95;61016;cs_agg_10142_44_10136_0_9897_50_9889_0;42813669_0;Berlin, Aubertstr._Charger;150000;56816;716
FALSCH;13.508907,52.453985;95;4931;cs_agg_10258_1_10221_30_10312_0_10312_1_12434_0_12422_35_10315_28_10882_1;MA080_0;S Schöneweide/Sterndamm (Berlin)_Charger;150000;731;150
FALSCH;13.400449,52.386691;95;6640;cs_agg_10385_45_10395_0_11755_32_11759_0;-858123638#0_0;S Lichtenrade (Berlin)_Charger;150000;2440;270
FALSCH;13.328173,52.466195;95;11044;cs_agg_10437_0_11755_0_12113_0_10437_1_11755_1_12113_1_11941_24;30143978#1_0;U Walther-Schreiber-Platz (Berlin)_Charger;150000;6844;330
FALSCH;13.362222,52.434593;95;6154;cs_agg_10437_17_10498_41;461910870#2_0;Halbauer Weg (Berlin)_Charger;150000;3354;180
FALSCH;13.328458,52.465225;95;10859;cs_agg_10444_40_11759_32_12115_49;4463221#1_0;U Walther-Schreiber-Platz (Berlin)_Charger;150000;6659;180
FALSCH;13.296658,52.423558;95;13051;cs_agg_10537_16_10538_0;24160797_0;Berlin, Appenzeller Str._Charger;150000;10251;240
FALSCH;13.285410,52.506677;95;4677;cs_agg_10661_0_10064_29_10663_31_10066_0;4616321#2_0;S Messe Nord/ICC (Berlin)_Charger;150000;477;120
FALSCH;13.279341,52.593922;95;5330;cs_agg_10671_36_11882_47_11989_25;MA046_0;Berlin, An der Mühle_Charger;150000;1130;1800
FALSCH;13.274735,52.634236;95;5434;cs_agg_10675_37_10671_0_11957_0_11962_49_10671_1_11957_1;-39496182#0_0;Hainbuchenstr. (Berlin)_Charger;150000;1234;60
FALSCH;13.380534,52.528392;95;7967;cs_agg_10740_22_10099_15;-671403217_0;Robert-Koch-Platz (Berlin)_Charger;150000;5167;180
FALSCH;13.281541,52.476283;95;7628;cs_agg_10804_21_10804_22_11538_46_11538_47_10481_5;4486596#2_0;Roseneck (Berlin)_Charger;150000;3428;120
FALSCH;13.282403,52.475828;95;7506;cs_agg_10808_0_11530_0_10808_1_11530_1;24673480_0;Roseneck (Berlin)_Charger;150000;3306;120
FALSCH;13.306340,52.469124;95;6550;cs_agg_10948_0_10802_38;30699893_0;Dillenburger Str. (Berlin)_Charger;150000;3750;180
FALSCH;13.374719,52.423392;95;6974;cs_agg_10959_0_10956_24_12115_27_12434_14_11773_6_10959_1_11776_10_12113_22_12422_21;120395207#1_0;S Marienfelde (Berlin)_Charger;150000;2774;300
FALSCH;13.319277,52.454933;95;3534;cs_agg_10965_0_10970_27;30157290_0;S+U Rathaus Steglitz (Berlin)_Charger;150000;734;180
FALSCH;13.313813,52.410985;95;10637;cs_agg_10965_25_10970_0;148288810#2_0;S Lichterfelde Süd (Berlin)_Charger;150000;7837;60
