TRIP_ID;ORIGINAL_TRIP_ID;START_STOP_ID;END_STOP_ID;depot;START_TIMESTAMP;END_TIMESTAMP;START_STOP_NAME;END_STOP_NAME;START_STOP_COORDINATES;END_STOP_COORDINATES
1;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;15120.0;19170.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
2;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;15360.0;19410.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
3;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;16140.0;20190.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
4;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;16320.0;20370.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
5;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;17340.0;21390.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
6;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;18480.0;22530.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
7;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;19680.0;23730.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
8;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;20700.0;24750.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
9;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;21720.0;25770.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
10;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;22920.0;26970.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
11;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;24060.0;28110.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
12;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;24120.0;28170.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
13;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;25320.0;29370.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
14;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;26520.0;30570.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
15;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;27600.0;31650.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
16;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;28680.0;32730.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
17;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;29880.0;33930.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
18;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;31080.0;35130.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
19;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;32280.0;36330.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
