vType_color;vType_emissionClass;vType_guiShape;vType_id;vType_length;vType_mass;vType_sigma;vType_vClass;param_key;param_value
yellow;Energy/unknown;bus;Ebusco2.2electric12m;1.0;12850;0.0;bus;has.battery.device;true
yellow;Energy/unknown;bus;Ebusco2.2electric12m;1.0;12850;0.0;bus;device.battery.capacity;525000
yellow;Energy/unknown;bus;Ebusco2.2electric12m;1.0;12850;0.0;bus;frontSurfaceArea;8.211
yellow;Energy/unknown;bus;Ebusco2.2electric12m;1.0;12850;0.0;bus;airDragCoefficient;0.35
yellow;Energy/unknown;bus;Ebusco2.2electric12m;1.0;12850;0.0;bus;rotatingMass;40
yellow;Energy/unknown;bus;Ebusco2.2electric12m;1.0;12850;0.0;bus;radialDragCoefficient;0.1
yellow;Energy/unknown;bus;Ebusco2.2electric12m;1.0;12850;0.0;bus;rollDragCoefficient;0.01
yellow;Energy/unknown;bus;Ebusco2.2electric12m;1.0;12850;0.0;bus;constantPowerIntake;100
yellow;Energy/unknown;bus;Ebusco2.2electric12m;1.0;12850;0.0;bus;propulsionEfficiency;.98
yellow;Energy/unknown;bus;Ebusco2.2electric12m;1.0;12850;0.0;bus;recuperationEfficiency;.96
yellow;Energy/unknown;bus;Ebusco2.2electric12m;1.0;12850;0.0;bus;stoppingThreshold;0.1
yellow;Energy/unknown;bus;Ebusco2.2electric12m;1.0;12850;0.0;bus;device.battery.maximumChargeRate;150000
yellow;Energy/unknown;bus;Ebusco2.2electric12m;1.0;12850;0.0;bus;device.battery.chargeLevelTable;0 0.8 1
yellow;Energy/unknown;bus;Ebusco2.2electric12m;1.0;12850;0.0;bus;device.battery.chargeCurveTable;150000 150000 120000
blue;Energy/unknown;bus/flexible;SolarsisUrbino18electric;1.5;30000;0.0;bus;has.battery.device;true
blue;Energy/unknown;bus/flexible;SolarsisUrbino18electric;1.5;30000;0.0;bus;device.battery.capacity;700000
blue;Energy/unknown;bus/flexible;SolarsisUrbino18electric;1.5;30000;0.0;bus;frontSurfaceArea;8.415
blue;Energy/unknown;bus/flexible;SolarsisUrbino18electric;1.5;30000;0.0;bus;airDragCoefficient;0.35
blue;Energy/unknown;bus/flexible;SolarsisUrbino18electric;1.5;30000;0.0;bus;rotatingMass;40
blue;Energy/unknown;bus/flexible;SolarsisUrbino18electric;1.5;30000;0.0;bus;radialDragCoefficient;0.1
blue;Energy/unknown;bus/flexible;SolarsisUrbino18electric;1.5;30000;0.0;bus;rollDragCoefficient;0.01
blue;Energy/unknown;bus/flexible;SolarsisUrbino18electric;1.5;30000;0.0;bus;constantPowerIntake;100
blue;Energy/unknown;bus/flexible;SolarsisUrbino18electric;1.5;30000;0.0;bus;propulsionEfficiency;.98
blue;Energy/unknown;bus/flexible;SolarsisUrbino18electric;1.5;30000;0.0;bus;recuperationEfficiency;.96
blue;Energy/unknown;bus/flexible;SolarsisUrbino18electric;1.5;30000;0.0;bus;stoppingThreshold;0.1
blue;Energy/unknown;bus/flexible;SolarsisUrbino18electric;1.5;30000;0.0;bus;device.battery.maximumChargeRate;250000
blue;Energy/unknown;bus/flexible;SolarsisUrbino18electric;1.5;30000;0.0;bus;device.battery.chargeLevelTable;0 0.8 1
blue;Energy/unknown;bus/flexible;SolarsisUrbino18electric;1.5;30000;0.0;bus;device.battery.chargeCurveTable;250000 250000 200000
green;Energy/unknown;bus;SolarsisUrbino12electric;1.5;12850;0.0;bus;has.battery.device;true
green;Energy/unknown;bus;SolarsisUrbino12electric;1.5;12850;0.0;bus;device.battery.capacity;300000
green;Energy/unknown;bus;SolarsisUrbino12electric;1.5;12850;0.0;bus;frontSurfaceArea;8.415
green;Energy/unknown;bus;SolarsisUrbino12electric;1.5;12850;0.0;bus;airDragCoefficient;0.35
green;Energy/unknown;bus;SolarsisUrbino12electric;1.5;12850;0.0;bus;rotatingMass;40
green;Energy/unknown;bus;SolarsisUrbino12electric;1.5;12850;0.0;bus;radialDragCoefficient;0.1
green;Energy/unknown;bus;SolarsisUrbino12electric;1.5;12850;0.0;bus;rollDragCoefficient;0.01
green;Energy/unknown;bus;SolarsisUrbino12electric;1.5;12850;0.0;bus;constantPowerIntake;100
green;Energy/unknown;bus;SolarsisUrbino12electric;1.5;12850;0.0;bus;propulsionEfficiency;.98
green;Energy/unknown;bus;SolarsisUrbino12electric;1.5;12850;0.0;bus;recuperationEfficiency;.96
green;Energy/unknown;bus;SolarsisUrbino12electric;1.5;12850;0.0;bus;stoppingThreshold;0.1
green;Energy/unknown;bus;SolarsisUrbino12electric;1.5;12850;0.0;bus;device.battery.maximumChargeRate;260000
green;Energy/unknown;bus;SolarsisUrbino12electric;1.5;12850;0.0;bus;device.battery.chargeLevelTable;0 0.8 1
green;Energy/unknown;bus;SolarsisUrbino12electric;1.5;12850;0.0;bus;device.battery.chargeCurveTable;260000 260000 208000
