ORIGINAL_TRIP_ID,DURATION
101_9633,3860.0
101_9646,3980.0
109_9722,1820.0
109_9724,2000.0
110_9735,1970.0
110_9737,1940.0
115_9773,2120.0
115_9777,2120.0
120_9828,2420.0
120_9836,2420.0
122_9844,3500.0
122_9852,3440.0
123_9863,3500.0
123_9873,3800.0
124_9889,3920.0
124_9897,3860.0
125_9908,4160.0
125_9922,4040.0
128_9929,1040.0
128_9931,980.0
150_10115,2600.0
150_10120,2720.0
186_10481,2960.0
186_10487,3020.0
188_10537,1100.0
188_10538,1400.0
218_10661,2960.0
218_10663,3020.0
220_10671,2660.0
220_10675,2660.0
221_10683,2540.0
221_10691,2540.0
222_10695,2300.0
222_10705,2390.0
247_10785,1940.0
247_10789,1940.0
249_10804,1640.0
249_10808,1700.0
283_10956,1940.0
283_10959,1790.0
284_10965,1760.0
284_10970,1940.0
285_10980,2480.0
285_10994,2540.0
309_11037,920.0
309_11039,980.0
322_11065,1520.0
322_11067,1700.0
324_11077,560.0
324_11079,560.0
327_11082,1460.0
327_11085,1400.0
M19_11467,2420.0
M19_11475,2360.0
M21_11514,2360.0
M21_11516,2300.0
M27_11518,2780.0
M27_11523,2840.0
M29_11530,3980.0
M29_11538,3800.0
M46_11658,3560.0
M46_11665,3560.0
M48_11679,3200.0
M48_11683,3560.0
M76_11755,2480.0
M76_11759,2720.0
M82_11800,1640.0
M82_11804,1700.0
X11_12422,4400.0
X11_12434,4340.0
X33_12472,2780.0
X33_12475,2780.0
X83_12561,2900.0
X83_12570,3140.0
M43_12763,3200.0
M43_12771,3200.0
