station_id,peak_power,raw_solar_data,scaled_solar_data
cd_muellerstrasse_01,6289,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.7509575, 52.74181, 98.6056, 200.67216, 363.46353, 356.5625, 422.72745, 465.67914, 745.2975, 683.7056, 570.37976, 257.01236, 24.35428, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 67612.7717175, 331693.24309, 620130.6183999999, 1262027.21424, 2285822.14017, 2242421.5625, 2658532.9330499996, 2928656.1114600003, 4687175.9775, 4299824.5184, 3587118.3106400003, 1616350.73204, 153164.06691999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cd_cicerostrasse_01,5500,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.343913, 56.041107, 119.80511, 223.31204, 292.2723, 390.8841, 351.59137, 443.9727, 742.39197, 688.10785, 549.20575, 201.0717, 20.156273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 78891.5215, 308226.08849999995, 658928.105, 1228216.22, 1607497.65, 2149862.55, 1933752.535, 2441849.85, 4083155.835, 3784593.175, 3020631.625, 1105894.3499999999, 110859.5015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_11658_39,25,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.199763, 58.41318, 133.47585, 222.03091, 254.2153, 375.13602, 392.82724, 585.58026, 733.6646, 664.00476, 550.5828, 336.79208, 12.29327, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 354.994075, 1460.3294999999998, 3336.8962500000002, 5550.77275, 6355.382500000001, 9378.4005, 9820.681, 14639.5065, 18341.614999999998, 16600.119000000002, 13764.57, 8419.802, 307.33175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_12422_0,37,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.147296, 47.83054, 113.00784, 222.55566, 349.34546, 280.3784, 487.57675, 581.67285, 734.78845, 688.89935, 582.0877, 308.5208, 78.67168, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 523.449952, 1769.72998, 4181.29008, 8234.55942, 12925.78202, 10374.0008, 18040.33975, 21521.89545, 27187.17265, 25489.27595, 21537.2449, 11415.2696, 2910.85216, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_9646_49,31,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.074026, 57.12492, 110.42489, 205.80603, 315.14407, 358.77252, 388.86734, 536.2409, 738.4022, 693.18994, 566.21674, 206.40358, 89.816635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 529.294806, 1770.8725200000001, 3423.17159, 6379.98693, 9769.46617, 11121.94812, 12054.88754, 16623.4679, 22890.4682, 21488.88814, 17552.71894, 6398.51098, 2784.315685, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_9873_50,312,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.362508, 56.819126, 119.85603, 223.5737, 292.5039, 391.1973, 351.71616, 444.191, 741.4415, 686.91296, 548.2737, 198.78912, 20.158028, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4481.102496, 17727.567312, 37395.081360000004, 69754.9944, 91261.2168, 122053.5576, 109735.44192, 138587.592, 231329.748, 214316.84352, 171061.3944, 62022.20544, 6289.304736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10045_25_11089_9_12475_23,18,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.167549, 48.277405, 96.42852, 206.01802, 367.54236, 251.84053, 523.6989, 411.07855, 771.3938, 706.72284, 556.2248, 148.27939, 5.154874, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 219.01588199999998, 868.99329, 1735.7133600000002, 3708.32436, 6615.762479999999, 4533.12954, 9426.5802, 7399.4139000000005, 13885.0884, 12721.011120000001, 10012.0464, 2669.02902, 92.787732, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10115_0_9908_0_12037_0_9922_53_10818_33_10120_37_12038_12_9929_11_9931_0,100,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.764309, 49.7525, 112.5487, 214.24872, 351.08878, 373.22913, 371.70624, 465.5762, 744.8296, 689.8602, 565.0402, 263.87183, 11.053563, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1076.4309, 4975.25, 11254.869999999999, 21424.872, 35108.878, 37322.913, 37170.623999999996, 46557.619999999995, 74482.96, 68986.01999999999, 56504.020000000004, 26387.182999999997, 1105.3563000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10142_44_10136_0_9897_50_9889_0,149,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.823114, 53.015545, 108.23878, 191.36206, 314.37085, 336.0719, 355.12155, 519.103, 758.5406, 701.69684, 611.4318, 304.93442, 28.79154, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2208.643986, 7899.316205, 16127.578220000001, 28512.94694, 46841.25665, 50074.7131, 52913.11095, 77346.347, 113022.5494, 104552.82916, 91103.3382, 45435.228579999995, 4289.9394600000005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10258_1_10221_30_10312_0_10312_1_12434_0_12422_35_10315_28_10882_1,31,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.176603, 59.065254, 142.43944, 191.20897, 234.5419, 394.50098, 440.774, 617.1701, 725.2627, 704.8696, 583.6455, 461.93295, 37.265316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 284.474693, 1831.022874, 4415.62264, 5927.47807, 7270.7989, 12229.53038, 13663.994, 19132.273100000002, 22483.1437, 21850.9576, 18093.0105, 14319.92145, 1155.224796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10437_0_11755_0_12113_0_10437_1_11755_1_12113_1_11941_24,68,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.346357, 56.05013, 119.82631, 223.3582, 292.30084, 390.87766, 351.5769, 443.93668, 742.2335, 688.0056, 549.204, 201.12793, 20.159674, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 975.552276, 3811.40884, 8148.18908, 15188.357600000001, 19876.45712, 26579.68088, 23907.2292, 30187.69424, 50471.878000000004, 46784.3808, 37345.871999999996, 13676.69924, 1370.857832, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10661_0_10064_29_10663_31_10066_0,25,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 19.234758, 57.130196, 105.8865, 197.5752, 340.18448, 274.1233, 388.564, 519.5105, 742.88306, 700.0308, 566.5601, 223.41154, 67.98201, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 480.86895, 1428.2549, 2647.1625, 4939.38, 8504.612000000001, 6853.0824999999995, 9714.1, 12987.762499999999, 18572.0765, 17500.77, 14164.0025, 5585.2885, 1699.55025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10671_36_11882_47_11989_25,375,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.873823, 58.966892, 91.10632, 182.48769, 352.92273, 308.0513, 420.91745, 390.25867, 749.2434, 679.04395, 567.1342, 211.65953, 30.264465, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4827.683625, 22112.5845, 34164.869999999995, 68432.88375, 132346.02375, 115519.2375, 157844.04374999998, 146347.00125, 280966.27499999997, 254641.48125, 212675.32499999998, 79372.32375, 11349.174375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10804_21_10804_22_11538_46_11538_47_10481_5,25,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.36478, 57.146656, 110.46637, 205.87416, 315.18204, 358.77655, 389.67715, 536.72815, 737.82184, 693.62836, 566.9619, 206.11647, 90.52818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 409.1195, 1428.6664, 2761.65925, 5146.853999999999, 7879.5509999999995, 8969.41375, 9741.92875, 13418.20375, 18445.546, 17340.709000000003, 14174.0475, 5152.91175, 2263.2045000000003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
