station_id,peak_power,raw_solar_data,scaled_solar_data
cd_Muellerstrasse_01,6289,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.24784215, 6.713836, 15.865892, 42.028778, 55.70576, 91.58631, 258.93997, 617.24054, 526.3894, 594.5027, 624.0318, 435.01007, 406.68997, 161.69011, 159.66173, 60.778023, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 1558.67928135, 42223.314604, 99780.594788, 264318.984842, 350333.52463999996, 575986.30359, 1628473.47133, 3881825.75606, 3310462.9366, 3738827.4803, 3924535.9902, 2735778.33023, 2557673.22133, 1016869.10179, 1004112.61997, 382232.986647, 0.0, 0.0, 0.0]}"
cd_Cicerostrasse_01,5500,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 2.5400634, 13.510941, 15.860774, 43.689686, 47.235645, 83.85558, 319.89737, 530.1801, 558.75305, 622.4877, 634.17206, 380.71106, 396.91498, 101.908844, 167.57196, 56.527924, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 13970.3487, 74310.1755, 87234.257, 240293.27300000002, 259796.0475, 461205.69, 1759435.5350000001, 2915990.5500000003, 3073141.7750000004, 3423682.35, 3487946.33, 2093910.8299999998, 2183032.39, 560498.642, 921645.7799999999, 310903.582, 0.0, 0.0, 0.0]}"
cs_9735_25,18,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.24759823, 17.43245, 15.860867, 42.01801, 56.532913, 83.85582, 265.67297, 544.94165, 548.14667, 594.32526, 627.79236, 468.9842, 444.65787, 76.55139, 177.53603, 58.20305, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 4.45676814, 313.78409999999997, 285.495606, 756.32418, 1017.592434, 1509.40476, 4782.1134600000005, 9808.9497, 9866.64006, 10697.854679999999, 11300.262480000001, 8441.7156, 8003.84166, 1377.92502, 3195.64854, 1047.6549, 0.0, 0.0, 0.0]}"
cs_10994_37,12,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.24759823, 17.43245, 15.860867, 42.01801, 56.532913, 83.85582, 265.67297, 544.94147, 548.14655, 594.3251, 627.7923, 468.98434, 444.65933, 76.55139, 177.5417, 58.205456, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 2.97117876, 209.18939999999998, 190.33040400000002, 504.21611999999993, 678.394956, 1006.2698399999999, 3188.07564, 6539.29764, 6577.758600000001, 7131.9012, 7533.507599999999, 5627.81208, 5335.91196, 918.61668, 2130.5004, 698.465472, 0.0, 0.0, 0.0]}"
cs_11407_0,20,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 8.227808, 7.4402037, 24.639345, 27.105888, 50.58106, 104.39777, 446.11246, 426.2531, 551.7106, 721.6022, 591.85114, 414.35678, 154.46985, 256.31723, 169.23991, 31.418121, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 164.55615999999998, 148.80407399999999, 492.78689999999995, 542.11776, 1011.6212, 2087.9554, 8922.2492, 8525.062, 11034.212, 14432.044000000002, 11837.022799999999, 8287.1356, 3089.397, 5126.3446, 3384.7982, 628.3624199999999, 0.0, 0.0, 0.0]}"
cs_11407_61,43,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.24759823, 17.43245, 15.860867, 42.01801, 56.532913, 83.85582, 265.67297, 544.9417, 548.1464, 594.32446, 627.7899, 468.98166, 444.64966, 76.55139, 177.52087, 58.19858, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 10.64672389, 749.5953499999999, 682.017281, 1806.77443, 2430.915259, 3605.80026, 11423.93771, 23432.4931, 23570.2952, 25555.951780000003, 26994.9657, 20166.21138, 19119.93538, 3291.70977, 7633.3974100000005, 2502.53894, 0.0, 0.0, 0.0]}"
cs_11658_39,25,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 8.021953, 10.437133, 15.854564, 29.57586, 43.853416, 154.37517, 357.8099, 419.19772, 603.5087, 700.98956, 620.66406, 440.51007, 151.9399, 178.11589, 168.1271, 49.80134, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 200.548825, 260.928325, 396.3641, 739.3965, 1096.3354000000002, 3859.37925, 8945.247500000001, 10479.943, 15087.717499999999, 17524.739, 15516.601499999999, 11012.75175, 3798.4975, 4452.89725, 4203.177500000001, 1245.0335, 0.0, 0.0, 0.0]}"
cs_11800_21,37,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 8.010463, 13.509621, 15.854393, 37.833538, 37.99675, 113.90763, 303.0273, 444.16617, 592.16437, 681.94617, 620.68036, 305.27432, 226.18394, 105.27784, 179.8081, 56.7538, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 296.387131, 499.855977, 586.612541, 1399.840906, 1405.87975, 4214.58231, 11212.010100000001, 16434.14829, 21910.08169, 25232.00829, 22965.173319999998, 11295.14984, 8368.80578, 3895.28008, 6652.8997, 2099.8905999999997, 0.0, 0.0, 0.0]}"
cs_12751_0,18,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 2.5400634, 13.510941, 15.860774, 43.689686, 47.235645, 83.85558, 319.89783, 530.1824, 558.7548, 622.48975, 634.17303, 380.71014, 396.9053, 101.908844, 167.52554, 56.507538, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 45.721141200000005, 243.19693800000002, 285.493932, 786.414348, 850.2416099999999, 1509.4004400000001, 5758.16094, 9543.2832, 10057.5864, 11204.815499999999, 11415.11454, 6852.782520000001, 7144.2954, 1834.3591920000001, 3015.4597200000003, 1017.135684, 0.0, 0.0, 0.0]}"
cs_10661_32,0,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 7.257929, 6.722234, 15.880891, 27.170326, 38.037678, 93.37471, 315.7386, 515.0565, 655.7158, 628.8589, 553.9929, 489.228, 114.632614, 51.393246, 151.14897, 72.607475, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
