Depot,Line,Type,Both Depots,DoubleDecker
Cicerostraße,M11,GN,0,0
Cicerostraße,M19,GN,0,0
Müllerstraße,M21,GN,0,0
Müllerstraße,M27,GN,0,0
Cicerostraße,M29,DL,0,0
Cicerostraße,M43,GN,0,0
Cicerostraße,M46,DL,0,0
Cicerostraße,M48,GN,0,0
Cicerostraße,M76,GN,0,0
Cicerostraße,M82,DL,0,0
Cicerostraße,M85,GN,1,1
Cicerostraße,M10,GN,0,0
Müllerstraße,X11,GN,0,0
Müllerstraße,X33,GN,0,0
Cicerostraße,X83,GN,0,1
Cicerostraße,101,DL,0,0
Müllerstraße,109,EN,0,0
Cicerostraße,110,EN,0,0
Cicerostraße,115,EN,0,0
Müllerstraße,120,GN,0,0
Müllerstraße,122,GN,0,0
Müllerstraße,123,EN,0,0
Müllerstraße,124,EN,0,0
Müllerstraße,125,GN,0,0
Müllerstraße,128,EN,0,0
Cicerostraße,143,EN,0,0
Müllerstraße,150,GN,0,0
Cicerostraße,184,EN,0,0
Cicerostraße,186,DL,0,0
Cicerostraße,187,EN,1,0
Cicerostraße,188,EN,0,0
Cicerostraße,215,EN,0,0
Cicerostraße,218,GN,0,1
Müllerstraße,220,GN,0,0
Müllerstraße,221,GN,0,0
Müllerstraße,222,GN,0,0
Müllerstraße,245,GN,0,0
Müllerstraße,247,EN,0,0
Cicerostraße,249,EN,0,0
Cicerostraße,282,DL,0,0
Cicerostraße,283,EN,0,0
Cicerostraße,284,EN,0,0
Cicerostraße,285,DL,0,0
Cicerostraße,309,EN,0,0
Cicerostraße,312,GN,0,0
Müllerstraße,322,EN,0,0
Müllerstraße,324,EN,0,0
Müllerstraße,327,EN,0,0
