route,flow_end,flow_begin,period,duration,nr_of_buses,nr_of_repetitions,Line,Depot,Type,Both Depots,DoubleDecker
101_9633,85800,15120,600.0,3860.0,7,18,101,Cicerostraße,DL,0,0
101_9646,85740,1740,600.0,3980.0,7,21,101,Cicerostraße,DL,0,0
109_9722,86160,19860,720.0,1820.0,3,36,109,Müllerstraße,EN,0,0
109_9724,86040,19200,600.0,2000.0,4,33,109,Müllerstraße,EN,0,0
110_9735,85800,18540,1200.0,1970.0,2,34,110,Cicerostraße,EN,0,0
110_9737,85320,1320,1200.0,1940.0,2,43,110,Cicerostraße,EN,0,0
115_9773,85980,16260,1140.0,2120.0,2,32,115,Cicerostraße,EN,0,0
115_9777,86100,15420,600.0,2120.0,4,33,115,Cicerostraße,EN,0,0
120_9828,85200,1200,720.0,2420.0,4,34,120,Müllerstraße,GN,0,0
120_9836,85980,16440,780.0,2420.0,4,28,120,Müllerstraße,GN,0,0
122_9844,85320,1320,300.0,3500.0,12,24,122,Müllerstraße,GN,0,0
122_9852,85680,1680,300.0,3440.0,12,24,122,Müllerstraße,GN,0,0
123_9863,86280,16680,300.0,3500.0,12,19,123,Müllerstraße,EN,0,0
123_9873,85500,15900,540.0,3800.0,8,18,123,Müllerstraße,EN,0,0
124_9889,85260,1260,600.0,3920.0,7,21,124,Müllerstraße,EN,0,0
124_9897,86280,15480,720.0,3860.0,6,18,124,Müllerstraße,EN,0,0
125_9908,86220,15600,660.0,4160.0,7,16,125,Müllerstraße,GN,0,0
125_9922,86040,15480,1200.0,4040.0,4,17,125,Müllerstraße,GN,0,0
128_9929,86220,16020,600.0,1040.0,2,67,128,Müllerstraße,EN,0,0
128_9931,85440,15360,600.0,980.0,2,71,128,Müllerstraße,EN,0,0
150_10115,85740,16140,660.0,2600.0,4,26,150,Müllerstraße,GN,0,0
150_10120,85800,15960,600.0,2720.0,5,25,150,Müllerstraße,GN,0,0
186_10481,86160,15480,480.0,2960.0,7,23,186,Cicerostraße,DL,0,0
186_10487,86340,16680,600.0,3020.0,6,23,186,Cicerostraße,DL,0,0
187_10498,85560,15060,600.0,3380.0,6,20,187,Cicerostraße,EN,1,0
188_10537,85680,19680,1200.0,1100.0,1,60,188,Cicerostraße,EN,0,0
188_10538,85560,19440,1200.0,1400.0,2,47,188,Cicerostraße,EN,0,0
218_10661,61800,33120,7200.0,2960.0,1,9,218,Cicerostraße,GN,0,1
218_10663,65040,36240,7200.0,3020.0,1,9,218,Cicerostraße,GN,0,1
220_10671,85200,1200,1200.0,2660.0,3,31,220,Müllerstraße,GN,0,0
220_10675,85560,1560,1200.0,2660.0,3,31,220,Müllerstraße,GN,0,0
221_10683,85620,15840,600.0,2540.0,5,27,221,Müllerstraße,GN,0,0
221_10691,85680,16560,1020.0,2540.0,3,27,221,Müllerstraße,GN,0,0
222_10695,85560,17220,600.0,2300.0,4,29,222,Müllerstraße,GN,0,0
222_10705,86100,16200,960.0,2390.0,3,29,222,Müllerstraße,GN,0,0
245_10740,85560,1560,420.0,1940.0,5,43,245,Müllerstraße,GN,0,0
247_10785,85200,1200,600.0,1940.0,4,43,247,Müllerstraße,EN,0,0
247_10789,86100,18300,1110.0,1940.0,2,34,247,Müllerstraße,EN,0,0
249_10804,85800,16200,600.0,1640.0,3,42,249,Cicerostraße,EN,0,0
249_10808,86220,16500,600.0,1700.0,3,41,249,Cicerostraße,EN,0,0
282_10948,85740,17400,600.0,2300.0,4,29,282,Cicerostraße,DL,0,0
283_10956,85560,15960,1200.0,1940.0,2,35,283,Cicerostraße,EN,0,0
283_10959,85260,1260,1200.0,1790.0,2,46,283,Cicerostraße,EN,0,0
284_10965,85380,1380,1200.0,1760.0,2,47,284,Cicerostraße,EN,0,0
284_10970,86340,16740,1200.0,1940.0,2,35,284,Cicerostraße,EN,0,0
285_10980,85260,15660,660.0,2480.0,4,28,285,Cicerostraße,DL,0,0
285_10994,85980,1980,600.0,2540.0,5,33,285,Cicerostraße,DL,0,0
309_11037,79260,19260,1200.0,920.0,1,65,309,Cicerostraße,EN,0,0
309_11039,80040,20040,1200.0,980.0,1,61,309,Cicerostraße,EN,0,0
322_11065,69780,21000,1200.0,1520.0,2,32,322,Müllerstraße,EN,0,0
322_11067,69480,22740,1200.0,1700.0,2,27,322,Müllerstraße,EN,0,0
324_11077,73740,21540,1800.0,560.0,1,93,324,Müllerstraße,EN,0,0
324_11079,74820,22620,1800.0,560.0,1,93,324,Müllerstraße,EN,0,0
327_11082,71640,21360,1200.0,1460.0,2,34,327,Müllerstraße,EN,0,0
327_11085,72780,22500,1200.0,1400.0,2,35,327,Müllerstraße,EN,0,0
M11_11407,85800,3180,600.0,4700.0,8,17,M11,Cicerostraße,GN,0,0
M19_11467,85620,420,660.0,2420.0,4,35,M19,Cicerostraße,GN,0,0
M19_11475,86040,1860,600.0,2360.0,4,35,M19,Cicerostraße,GN,0,0
M21_11514,85320,1740,600.0,2360.0,4,35,M21,Müllerstraße,GN,0,0
M21_11516,85320,1920,600.0,2300.0,4,36,M21,Müllerstraße,GN,0,0
M27_11518,86220,3180,360.0,2780.0,8,29,M27,Müllerstraße,GN,0,0
M27_11523,85200,1680,360.0,2840.0,8,29,M27,Müllerstraße,GN,0,0
M29_11530,85320,1320,480.0,3980.0,9,21,M29,Cicerostraße,DL,0,0
M29_11538,85860,3180,300.0,3800.0,13,21,M29,Cicerostraße,DL,0,0
M46_11658,85500,1500,540.0,3560.0,7,23,M46,Cicerostraße,DL,0,0
M46_11665,85440,1440,540.0,3560.0,7,23,M46,Cicerostraße,DL,0,0
M48_11679,85860,2520,600.0,3200.0,6,26,M48,Cicerostraße,GN,0,0
M48_11683,84900,1920,600.0,3560.0,6,23,M48,Cicerostraße,GN,0,0
M76_11755,86280,1920,600.0,2480.0,5,34,M76,Cicerostraße,GN,0,0
M76_11759,85440,1620,600.0,2720.0,5,30,M76,Cicerostraße,GN,0,0
M82_11800,85620,2100,600.0,1640.0,3,50,M82,Cicerostraße,DL,0,0
M82_11804,85500,2160,600.0,1700.0,3,49,M82,Cicerostraße,DL,0,0
X11_12422,85860,15780,600.0,4400.0,8,15,X11,Müllerstraße,GN,0,0
X11_12434,86160,15780,1080.0,4340.0,5,16,X11,Müllerstraße,GN,0,0
X33_12472,82620,19020,600.0,2780.0,5,22,X33,Müllerstraße,GN,0,0
X33_12475,79320,19320,600.0,2780.0,5,21,X33,Müllerstraße,GN,0,0
X83_12561,85560,15960,540.0,2900.0,6,24,X83,Cicerostraße,GN,0,1
X83_12570,85380,1200,540.0,3140.0,6,26,X83,Cicerostraße,GN,0,1
143_12751,86040,1800,1200.0,2540.0,3,33,143,Cicerostraße,EN,0,0
M43_12763,85260,1260,480.0,3200.0,7,26,M43,Cicerostraße,GN,0,0
