TRIP_ID;ORIGINAL_TRIP_ID;START_STOP_ID;END_STOP_ID;depot;START_TIMESTAMP;END_TIMESTAMP
1;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;15120.0;18980.0
2;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;15720.0;19580.0
3;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;16320.0;20180.0
4;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;16920.0;20780.0
5;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;17520.0;21380.0
6;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;18120.0;21980.0
7;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;18720.0;22580.0
8;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;19320.0;23180.0
9;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;19920.0;23780.0
10;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;20520.0;24380.0
11;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;21120.0;24980.0
12;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;21720.0;25580.0
13;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;22320.0;26180.0
14;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;22920.0;26780.0
15;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;23520.0;27380.0
16;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;24120.0;27980.0
17;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;24720.0;28580.0
18;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;25320.0;29180.0
19;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;25920.0;29780.0
20;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;26520.0;30380.0
21;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;27120.0;30980.0
22;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;27720.0;31580.0
23;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;28320.0;32180.0
24;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;28920.0;32780.0
25;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;29520.0;33380.0
26;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;30120.0;33980.0
27;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;30720.0;34580.0
28;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;31320.0;35180.0
29;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;31920.0;35780.0
30;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;32520.0;36380.0
31;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;33120.0;36980.0
32;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;33720.0;37580.0
33;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;34320.0;38180.0
34;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;34920.0;38780.0
35;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;35520.0;39380.0
36;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;36120.0;39980.0
37;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;36720.0;40580.0
38;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;37320.0;41180.0
39;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;37920.0;41780.0
40;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;38520.0;42380.0
41;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;39120.0;42980.0
42;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;39720.0;43580.0
43;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;40320.0;44180.0
44;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;40920.0;44780.0
