TRIP_ID;ORIGINAL_TRIP_ID;START_STOP_ID;END_STOP_ID;depot;START_TIMESTAMP;END_TIMESTAMP
1;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;19860.0;21680.0
2;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;20580.0;22400.0
3;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;21300.0;23120.0
4;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;22020.0;23840.0
5;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;22740.0;24560.0
6;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;23460.0;25280.0
7;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;24180.0;26000.0
8;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;24900.0;26720.0
9;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;25620.0;27440.0
10;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;26340.0;28160.0
11;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;27060.0;28880.0
12;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;27780.0;29600.0
13;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;28500.0;30320.0
14;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;29220.0;31040.0
15;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;29940.0;31760.0
16;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;30660.0;32480.0
17;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;31380.0;33200.0
18;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;32100.0;33920.0
19;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;32820.0;34640.0
20;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;33540.0;35360.0
21;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;34260.0;36080.0
